timestamp,num_hospitalized,num_ventilators
2020-04-06 18:08:51,1809,563
2020-04-06 12:07:53,1803,561
2020-04-06 06:08:32,1803,561
2020-04-06 00:07:40,1803,561
2020-04-05 18:07:51,1803,561
2020-04-05 12:08:21,1726,571
2020-04-05 06:06:42,1726,571
2020-04-05 00:07:10,1726,571
2020-04-04 18:07:21,1726,571
2020-04-04 12:07:01,1707,535
2020-04-04 06:08:20,1707,535
2020-04-04 00:07:07,1707,535
2020-04-03 18:07:06,1707,535
2020-04-03 12:07:16,1639,507
2020-04-03 06:06:59,1639,507
2020-04-03 00:06:44,1639,507
2020-04-02 18:08:30,1639,507
2020-04-02 12:07:01,1498,490
2020-04-02 06:06:59,1498,490
2020-04-02 00:07:29,1498,490
2020-04-01 18:05:42,1498,490
2020-04-01 12:06:16,1355,438
2020-04-01 06:06:05,1355,438
2020-04-01 00:09:27,1355,438
2020-03-31 18:06:31,1355,438
2020-03-31 12:06:20,1158,385
2020-03-31 06:06:36,1158,385
2020-03-31 00:09:05,1158,385
2020-03-30 18:06:36,1158,385
2020-03-30 12:06:33,1127,380
2020-03-30 06:07:07,1127,380
2020-03-29 19:06:53,1127,380
2020-03-29 16:07:17,1127,380
2020-03-29 01:06:11,927,336
2020-03-28 19:08:24,927,336
2020-03-28 16:08:14,927,336
2020-03-28 01:08:00,773,270
2020-03-27 19:07:05,773,270
2020-03-27 16:06:31,773,270
2020-03-26 14:06:59,676,239
2020-03-26 01:07:06,491,163
2020-03-25 19:05:58,491,163
